station_id,architecture,target_variable,ablation_group,mae,mae_baseline,delta_mae,n_features
KORD,catboost,MaxT,ECMWF,1.3006161199693047,1.2587928681637146,0.0418232518055901,44
KORD,catboost,MaxT,Bias,1.2919930057622913,1.2587928681637146,0.0332001375985766,44
KORD,catboost,MaxT,Lags,1.2863961674574709,1.2587928681637146,0.0276032992937562,42
KORD,catboost,MaxT,Rolling,1.1722781970562557,1.2587928681637146,-0.0865146711074591,36
KORD,catboost,MaxT,NWP_atmosphere,1.263856651688828,1.2587928681637146,0.0050637835251132,43
KORD,catboost,MaxT,Physics,1.3055405765299992,1.2587928681637146,0.0467477083662846,41
KORD,catboost,MaxT,Time,1.2914410581771745,1.2587928681637146,0.0326481900134598,44
KORD,xgboost,MaxT,ECMWF,1.0326145138360758,0.9430465824836124,0.0895679313524635,44
KORD,xgboost,MaxT,Bias,1.0623721886525113,0.9430465824836124,0.1193256061688989,44
KORD,xgboost,MaxT,Lags,0.9815095504828258,0.9430465824836124,0.0384629679992135,42
KORD,xgboost,MaxT,Rolling,0.9217945347845028,0.9430465824836124,-0.0212520476991096,36
KORD,xgboost,MaxT,NWP_atmosphere,0.9318922578761007,0.9430465824836124,-0.0111543246075115,43
KORD,xgboost,MaxT,Physics,0.931936112125363,0.9430465824836124,-0.0111104703582493,41
KORD,xgboost,MaxT,Time,0.9457078444219268,0.9430465824836124,0.0026612619383146,44
KORD,lightgbm,MaxT,ECMWF,1.3983567134478998,1.3933402822826582,0.0050164311652416,44
KORD,lightgbm,MaxT,Bias,1.4463848512090538,1.3933402822826582,0.0530445689263956,44
KORD,lightgbm,MaxT,Lags,1.355698448876101,1.3933402822826582,-0.0376418334065571,42
KORD,lightgbm,MaxT,Rolling,1.360640616417509,1.3933402822826582,-0.0326996658651488,36
KORD,lightgbm,MaxT,NWP_atmosphere,1.3139115204637664,1.3933402822826582,-0.0794287618188918,43
KORD,lightgbm,MaxT,Physics,1.362165412517872,1.3933402822826582,-0.0311748697647862,41
KORD,lightgbm,MaxT,Time,1.3218370854048438,1.3933402822826582,-0.0715031968778143,44
KORD,linear,MaxT,ECMWF,0.9201820182963956,0.9201820182963488,4.6629367034256575e-14,44
KORD,linear,MaxT,Bias,1.0102903692476362,0.9201820182963488,0.0901083509512873,44
KORD,linear,MaxT,Lags,0.918611113676648,0.9201820182963488,-0.0015709046197008,42
KORD,linear,MaxT,Rolling,0.9086995806519164,0.9201820182963488,-0.0114824376444323,36
KORD,linear,MaxT,NWP_atmosphere,0.8991922966201069,0.9201820182963488,-0.0209897216762419,43
KORD,linear,MaxT,Physics,0.8792985694222512,0.9201820182963488,-0.0408834488740976,41
KORD,linear,MaxT,Time,0.918351639550835,0.9201820182963488,-0.0018303787455138,44
KORD,mlp,MaxT,ECMWF,0.875077032411503,0.8770495390304961,-0.001972506618993,44
KORD,mlp,MaxT,Bias,0.9783141490878532,0.8770495390304961,0.1012646100573571,44
KORD,mlp,MaxT,Lags,0.8727882127746214,0.8770495390304961,-0.0042613262558747,42
KORD,mlp,MaxT,Rolling,0.88847792592207,0.8770495390304961,0.0114283868915738,36
KORD,mlp,MaxT,NWP_atmosphere,0.8726460679866762,0.8770495390304961,-0.0044034710438198,43
KORD,mlp,MaxT,Physics,0.8817940807828516,0.8770495390304961,0.0047445417523555,41
KORD,mlp,MaxT,Time,0.8748483680783867,0.8770495390304961,-0.0022011709521093,44
KORD,catboost,MinT,ECMWF,1.4634924713479427,1.3642122139689483,0.0992802573789941,44
KORD,catboost,MinT,Bias,1.434251473350584,1.3642122139689483,0.0700392593816354,44
KORD,catboost,MinT,Lags,1.4200610909312217,1.3642122139689483,0.0558488769622731,42
KORD,catboost,MinT,Rolling,1.3877075968422783,1.3642122139689483,0.0234953828733297,36
KORD,catboost,MinT,NWP_atmosphere,1.3785317582106138,1.3642122139689483,0.0143195442416652,43
KORD,catboost,MinT,Physics,1.4379493695973378,1.3642122139689483,0.0737371556283892,41
KORD,catboost,MinT,Time,1.4189590977760658,1.3642122139689483,0.0547468838071172,44
KORD,xgboost,MinT,ECMWF,1.2794680751002996,1.3025161114941657,-0.0230480363938661,44
KORD,xgboost,MinT,Bias,1.3702435087643363,1.3025161114941657,0.0677273972701708,44
KORD,xgboost,MinT,Lags,1.279646752814276,1.3025161114941657,-0.0228693586798895,42
KORD,xgboost,MinT,Rolling,1.2677621305384468,1.3025161114941657,-0.0347539809557189,36
KORD,xgboost,MinT,NWP_atmosphere,1.28875622469767,1.3025161114941657,-0.0137598867964956,43
KORD,xgboost,MinT,Physics,1.2819143850191506,1.3025161114941657,-0.0206017264750151,41
KORD,xgboost,MinT,Time,1.2840507863897137,1.3025161114941657,-0.0184653251044519,44
KORD,lightgbm,MinT,ECMWF,1.5159789979064937,1.53275455851205,-0.0167755606055561,44
KORD,lightgbm,MinT,Bias,1.5836806242812829,1.53275455851205,0.0509260657692329,44
KORD,lightgbm,MinT,Lags,1.530502557272132,1.53275455851205,-0.0022520012399178,42
KORD,lightgbm,MinT,Rolling,1.5375507725830744,1.53275455851205,0.0047962140710244,36
KORD,lightgbm,MinT,NWP_atmosphere,1.5035455437525842,1.53275455851205,-0.0292090147594656,43
KORD,lightgbm,MinT,Physics,1.5102196224093118,1.53275455851205,-0.022534936102738,41
KORD,lightgbm,MinT,Time,1.5226194001497857,1.53275455851205,-0.0101351583622641,44
KORD,linear,MinT,ECMWF,1.0657913939495829,1.0667197435816629,-0.0009283496320797,44
KORD,linear,MinT,Bias,1.1419427150144963,1.0667197435816629,0.0752229714328338,44
KORD,linear,MinT,Lags,1.0704649662126928,1.0667197435816629,0.0037452226310301,42
KORD,linear,MinT,Rolling,1.071475540378513,1.0667197435816629,0.0047557967968503,36
