target,feature,rank,catboost,xgboost,lightgbm,linear,mlp,avg
MaxT,GFS_MaxT,1,30.6,8.78,26.57,43.06,74.83,36.77
MaxT,Forecast_MaxT,2,23.79,13.9,12.86,14.17,21.72,17.29
MaxT,EC_MaxT,3,13.49,3.61,2.27,0.06,0.0,3.89
MaxT,GFS_MeanT,4,5.12,3.87,2.27,1.89,1.04,2.84
MaxT,Model_Bias_MaxT_Rolling,5,0.25,1.62,2.3,7.25,0.14,2.31
MaxT,Forecast_MeanT,6,3.58,4.59,1.19,0.0,0.25,1.92
MaxT,Model_Bias_MaxT,7,0.39,1.55,2.22,4.21,0.13,1.7
MaxT,EC_MeanT,8,2.88,2.67,1.04,1.48,0.18,1.65
MaxT,Forecast_Uncertainty,9,0.23,1.25,1.69,3.95,0.04,1.43
MaxT,Model_Bias_MinT_Rolling,10,0.3,1.52,1.98,2.61,0.02,1.29
MaxT,Forecast_DewPoint,11,1.28,1.47,1.38,0.75,0.9,1.16
MaxT,U_Wind,12,0.56,1.54,1.21,2.0,0.01,1.06
MaxT,sin_time,13,0.24,1.36,1.58,2.09,0.03,1.06
MaxT,MaxT_vs_30d_Mean,14,0.86,1.52,1.93,0.94,0.01,1.05
MaxT,Cooling_Potential,15,0.88,1.66,1.21,1.36,0.01,1.02
MaxT,MaxT_Rolling_Mean_7d,16,0.54,2.05,1.36,0.82,0.08,0.97
MaxT,MinT_vs_30d_Mean,17,0.38,1.52,1.83,0.97,0.01,0.94
MaxT,Model_Bias_MinT,18,0.17,1.49,1.9,1.15,0.0,0.94
MaxT,MinT_Rolling_Mean_7d,19,0.92,1.74,1.17,0.83,0.01,0.93
MaxT,Forecast_Wind,20,0.43,1.16,2.02,0.98,0.03,0.93
MaxT,DewPoint_Depression,21,0.91,1.57,1.6,0.45,0.03,0.91
MaxT,V_Wind,22,0.49,1.57,1.81,0.66,0.03,0.91
MaxT,Forecast_MinT,23,1.93,1.66,0.64,0.11,0.0,0.87
MaxT,EC_MinT,24,1.01,1.41,0.94,0.83,0.08,0.85
MaxT,MinT_Rolling_Std_7d,25,0.19,1.45,1.85,0.6,0.0,0.82
MaxT,MaxT_lag_1,26,0.76,1.67,1.14,0.36,0.04,0.79
MaxT,cos_time,27,0.33,1.53,1.29,0.71,0.09,0.79
MaxT,Forecast_Solar,28,0.67,1.32,1.7,0.14,0.08,0.78
MaxT,MaxT_Rolling_Std_7d,29,0.1,1.45,1.94,0.4,0.01,0.78
MaxT,MaxT_Rolling_Mean_3d,30,0.5,1.94,1.13,0.21,0.0,0.76
MinT,GFS_MinT,1,24.43,9.19,23.12,41.1,59.91,31.55
MinT,Forecast_MinT,2,23.25,12.52,11.91,2.45,31.04,16.23
MinT,GFS_MeanT,3,4.99,4.81,4.07,10.53,4.85,5.85
MinT,EC_MinT,4,11.71,4.09,3.05,7.57,0.0,5.28
MinT,Forecast_MeanT,5,4.9,5.62,1.93,0.12,1.17,2.75
MinT,EC_MeanT,6,4.03,3.13,1.65,1.4,0.33,2.11
MinT,Model_Bias_MinT,7,0.37,1.44,2.21,5.64,0.24,1.98
MinT,Forecast_DewPoint,8,3.82,2.2,2.21,0.78,0.36,1.87
MinT,Model_Bias_MinT_Rolling,9,0.38,1.45,1.92,4.05,0.08,1.58
MinT,MinT_Rolling_Mean_7d,10,1.41,2.4,1.82,0.75,0.32,1.34
MinT,Model_Bias_MaxT_Rolling,11,0.19,1.39,1.92,3.02,0.04,1.31
MinT,Forecast_Wind,12,0.48,1.09,2.02,2.36,0.18,1.22
MinT,MinT_lag_1,13,1.45,2.3,1.14,0.77,0.28,1.19
MinT,U_Wind,14,0.56,1.46,1.33,1.64,0.04,1.0
MinT,Cooling_Potential,15,0.54,1.54,1.14,1.69,0.09,1.0
MinT,MaxT_vs_30d_Mean,16,0.9,1.36,1.84,0.84,0.04,1.0
MinT,DewPoint_Depression,17,0.47,1.5,1.54,1.19,0.15,0.97
MinT,Model_Bias_MaxT,18,0.29,1.33,1.94,1.27,0.0,0.97
MinT,Forecast_MaxT,19,1.95,1.92,0.73,0.22,0.0,0.97
MinT,MinT_Rolling_Mean_3d,20,1.5,1.91,0.97,0.31,0.02,0.94
MinT,MinT_vs_30d_Mean,21,0.51,1.45,1.79,0.84,0.01,0.92
MinT,MaxT_Rolling_Mean_7d,22,0.67,1.6,1.32,0.91,0.08,0.92
MinT,V_Wind,23,0.38,1.45,1.79,0.83,0.03,0.9
MinT,MinT_Rolling_Std_7d,24,0.25,1.37,1.87,0.94,0.01,0.89
MinT,MaxT_Rolling_Std_7d,25,0.19,1.35,1.87,0.85,0.01,0.85
MinT,EC_MaxT,26,0.85,1.51,0.99,0.44,0.08,0.77
MinT,sin_time,27,0.31,1.2,1.48,0.77,0.09,0.77
MinT,MinT_lag_2,28,1.23,1.37,0.76,0.35,0.03,0.75
MinT,Forecast_Clouds,29,0.49,1.18,1.44,0.49,0.09,0.74
MinT,GFS_MaxT,30,0.82,0.75,1.18,0.94,0.0,0.74
