target,architecture,hf_mean_mae,hf_se,era5_mean_mae,era5_se,improvement_pct,wilcoxon_p,n_stations
MaxT,linear,0.879,0.035,1.182,0.037,25.6,0.0,28
MaxT,mlp,0.874,0.033,1.185,0.038,26.3,0.0,28
MaxT,xgboost,1.046,0.04,1.332,0.035,21.4,0.0,28
MaxT,lightgbm,1.238,0.054,1.401,0.034,11.6,0.002203,28
MaxT,catboost,1.2,0.038,1.391,0.027,13.7,0.0,28
MinT,linear,1.061,0.04,1.299,0.046,18.3,0.0,28
MinT,mlp,1.062,0.04,1.319,0.045,19.5,0.0,28
MinT,xgboost,1.247,0.046,1.448,0.047,13.9,3e-06,28
MinT,lightgbm,1.415,0.062,1.5,0.045,5.7,0.057258,28
MinT,catboost,1.345,0.048,1.487,0.052,9.5,0.000586,28
