target,group,architecture,mean_delta,p_value
MaxT,Bias,linear,0.037,0.000645
MaxT,Bias,mlp,0.041,0.000122
MaxT,Bias,xgboost,0.023,0.017877
MaxT,Bias,lightgbm,0.024,0.001022
MaxT,Bias,catboost,0.006,0.459836
MaxT,ECMWF,linear,-0.0,0.468741
MaxT,ECMWF,mlp,-0.0,0.522339
MaxT,ECMWF,xgboost,0.018,0.009557
MaxT,ECMWF,lightgbm,0.008,0.261072
MaxT,ECMWF,catboost,-0.017,0.931241
MaxT,Lags,linear,-0.0,0.372546
MaxT,Lags,mlp,-0.001,0.989613
MaxT,Lags,xgboost,0.014,0.059986
MaxT,Lags,lightgbm,0.007,0.158048
MaxT,Lags,catboost,-0.031,0.987625
MaxT,NWP_atmosphere,linear,-0.003,0.780999
MaxT,NWP_atmosphere,mlp,-0.002,0.635917
MaxT,NWP_atmosphere,xgboost,0.01,0.117959
MaxT,NWP_atmosphere,lightgbm,-0.009,0.928114
MaxT,NWP_atmosphere,catboost,0.008,0.355683
MaxT,NWP_primary,linear,0.014,0.054626
MaxT,NWP_primary,mlp,0.101,0.0
MaxT,NWP_primary,xgboost,0.473,0.0
MaxT,NWP_primary,lightgbm,0.45,0.0
MaxT,NWP_primary,catboost,0.356,0.0
MaxT,Physics,linear,0.003,0.152613
MaxT,Physics,mlp,0.004,0.050693
MaxT,Physics,xgboost,-0.002,0.635917
MaxT,Physics,lightgbm,0.008,0.283517
MaxT,Physics,catboost,-0.026,0.973311
MaxT,Rolling,linear,-0.002,0.847387
MaxT,Rolling,mlp,-0.0,0.540164
MaxT,Rolling,xgboost,-0.014,0.989111
MaxT,Rolling,lightgbm,-0.013,0.981035
MaxT,Rolling,catboost,-0.033,0.992701
MaxT,Time,linear,-0.001,0.945374
MaxT,Time,mlp,0.001,0.212376
MaxT,Time,xgboost,0.017,0.010205
MaxT,Time,lightgbm,-0.005,0.830717
MaxT,Time,catboost,-0.0,0.486592
MinT,Bias,linear,0.039,5e-06
MinT,Bias,mlp,0.038,3.2e-05
MinT,Bias,xgboost,0.016,0.054626
MinT,Bias,lightgbm,0.01,0.038708
MinT,Bias,catboost,0.007,0.381069
MinT,ECMWF,linear,-0.002,0.640717
MinT,ECMWF,mlp,-0.0,0.338318
MinT,ECMWF,xgboost,-0.005,0.593038
MinT,ECMWF,lightgbm,-0.002,0.566746
MinT,ECMWF,catboost,-0.003,0.468741
MinT,Lags,linear,0.001,0.330902
MinT,Lags,mlp,0.0,0.201435
MinT,Lags,xgboost,-0.014,0.910883
MinT,Lags,lightgbm,-0.001,0.531259
MinT,Lags,catboost,-0.002,0.644317
MinT,NWP_atmosphere,linear,0.012,0.012375
MinT,NWP_atmosphere,mlp,0.013,0.002292
MinT,NWP_atmosphere,xgboost,0.0,0.433254
MinT,NWP_atmosphere,lightgbm,0.003,0.253792
MinT,NWP_atmosphere,catboost,0.003,0.339089
MinT,NWP_primary,linear,0.466,0.0
MinT,NWP_primary,mlp,0.461,0.0
MinT,NWP_primary,xgboost,0.49,0.0
MinT,NWP_primary,lightgbm,0.453,0.0
MinT,NWP_primary,catboost,0.38,0.0
MinT,Physics,linear,-0.0,0.557912
MinT,Physics,mlp,0.0,0.283517
MinT,Physics,xgboost,-0.003,0.54905
MinT,Physics,lightgbm,-0.007,0.824919
MinT,Physics,catboost,0.013,0.199474
MinT,Rolling,linear,0.007,0.014025
MinT,Rolling,mlp,0.003,0.127257
MinT,Rolling,xgboost,-0.011,0.800526
MinT,Rolling,lightgbm,0.008,0.330902
MinT,Rolling,catboost,-0.01,0.767412
MinT,Time,linear,0.001,0.372546
MinT,Time,mlp,-0.001,0.461721
MinT,Time,xgboost,-0.002,0.415687
MinT,Time,lightgbm,-0.006,0.767412
MinT,Time,catboost,-0.001,0.306819
